Computing Time,Material,Thickness,EM_Model
1019.4917693138123,alu,0um,EM_Opt1
1246.0556597709656,alu,70um,EM_Opt1
1172.1699419021606,alu,200um,EM_Opt1
2096.653119325638,alu,270um,EM_Opt1
1788.9664814472198,alu,400um,EM_Opt1
3747.7863824367523,alu,600um,EM_Opt1
5783.839111328125,alu,1000um,EM_Opt1
8016.543970108032,alu,1400um,EM_Opt1
10653.653253793716,alu,2000um,EM_Opt1
12184.576120376587,alu,3000um,EM_Opt1
9834.776631832123,alu,4000um,EM_Opt1
1736.0160562992096,alu,6000um,EM_Opt1
