Computing Time,Material,Thickness,EM_Model
64286.70884799957,alu,1000um,EM_Opt0
63415.578733205795,alu,1000um,EM_Opt1
63187.21337389946,alu,1000um,EM_Opt2
44280.770698308945,alu,1000um,EM_Opt3
43704.03611135483,alu,1000um,EM_Opt4
63284.52490711212,alu,1000um,EM_LIV
62743.32335948944,alu,1000um,EM_PEN
