Material budget aluminium, Material budget error, mean-squared deviation angle from reference beam, xerror
0.0002809935933460717,2.2479576213604187e-06,1.1239392118295557,0.0020918608620426144
0.0010677756547150725,2.248076892475261e-06,3.849804663115542,0.0020294001068283246
0.0007867820613690009,2.2480183226292634e-06,2.8343431474727487,0.002526819142005424
0.003034730808137575,2.2489836429852206e-06,11.536688887004662,0.001276493664607559
0.0022479487467685737,2.2485166500325953e-06,8.316088450538341,0.0014880399094717581
0.006743846240305721,2.253054722921092e-06,26.743537516747256,0.0016693778843514385
0.004495897493537147,2.250219499871072e-06,17.182665828249082,0.0013076492432450434
0.015735641227380016,2.2756093424604336e-06,68.66776324677937,0.0027612431587694377
0.011239743733842868,2.262103556976008e-06,45.74570803698059,0.002017474450777318
0.03371923120152861,2.3723035171673005e-06,169.69467819070056,0.006287432663621365
0.022479487467685737,2.3040462898211963e-06,101.41973945299272,0.003687207984468091
0.06743846240305722,2.711360397653211e-06,415.6245227098576,0.016069471839542535
0.044958974935371473,2.464689943635929e-06,255.76084321930688,0.006717931220054695
