Thickness, mean, mean error
70, 6.7935, 0.00186735
200, 7.6558, 0.002196
270, 8.09575, 0.00235497
400, 8.86541, 0.00265359
600, 9.97073, 0.0030088
1000, 12.0055, 0.00372357
1400, 13.8524, 0.00434392
2000, 16.3609, 0.00514278
3000, 20.0776, 0.00639382
4000, 23.3777, 0.00741975
6000, 29.2351, 0.00936161
