Material Budget , Material budget error, mean-squared deviation angle from reference beam, xerror
0.00175561797752809,1.4047108115885915e-05,6.921005792417691,3.609297315309199e-05
0.0052668539325842695,1.4064410491319685e-05,21.33411905396643,2.3761593869896532e-05
0.00351123595505618,1.4053599003022186e-05,13.450018202699308,1.7398542384863454e-05
0.010533707865168539,1.4122649508274546e-05,41.184963363344586,3.571295631616557e-05
0.00702247191011236,1.4079532627583172e-05,25.222500431270465,2.1118938125267695e-05
0.024578651685393256,1.4462957861816265e-05,116.34455863882822,0.00018815269692138223
0.0175561797752809,1.4259747456571928e-05,80.50120917837889,9.523471475693759e-05
0.05266853932584269,1.5873877989348968e-05,312.1934303330662,0.0012636399300407811
0.0351123595505618,1.4885571851999255e-05,190.51167132094074,0.00046018696753330333
0.10533707865168539,2.0399477173279336e-05,730.5416268469096,0.010533028023871512
0.0702247191011236,1.7162157693726176e-05,433.0837143005932,0.002788262638155277
0.21067415730337077,3.275321869729406e-05,1880.2003055240243,0.19810029790779843
0.1404494382022472,2.4215228392015896e-05,1111.0997383114566,0.034926938201575254
0.0002809935933460717,2.2479576213604187e-06,1.1239392118295557,0.0020918608620426144
0.0010677756547150725,2.248076892475261e-06,3.849804663115542,0.0020294001068283246
0.0007867820613690009,2.2480183226292634e-06,2.8343431474727487,0.002526819142005424
0.003034730808137575,2.2489836429852206e-06,11.536688887004662,0.001276493664607559
0.0022479487467685737,2.2485166500325953e-06,8.316088450538341,0.0014880399094717581
0.006743846240305721,2.253054722921092e-06,26.743537516747256,0.0016693778843514385
0.004495897493537147,2.250219499871072e-06,17.182665828249082,0.0013076492432450434
0.015735641227380016,2.2756093424604336e-06,68.66776324677937,0.0027612431587694377
0.011239743733842868,2.262103556976008e-06,45.74570803698059,0.002017474450777318
0.03371923120152861,2.3723035171673005e-06,169.69467819070056,0.006287432663621365
0.022479487467685737,2.3040462898211963e-06,101.41973945299272,0.003687207984468091
0.06743846240305722,2.711360397653211e-06,415.6245227098576,0.016069471839542535
0.044958974935371473,2.464689943635929e-06,255.76084321930688,0.006717931220054695
0.0031289111389236,0.000313282962041,11.694062818831814,0.0009221777319527
0.0187734668335419,0.0003267016905963,82.92473250293672,0.0022381270099869
0.0344180225281601,0.0003571974700229,173.75632684231206,0.0045091994124421
0.0500625782227784,0.0004008919158103,277.9663179947583,0.0073912803590893
0.0657071339173967,0.0004539899573254,391.9474072459097,0.0105147940929767
0.081351689612015,0.0005135831891345,513.9934665528605,0.0156047839092168
0.0969962453066332,0.0005776649206849,643.2876002561716,0.0201020178731629
0.1126408010012515,0.0006448985087881,784.6376922018135,0.0249370663712306
