Thickness, mean, mean error
70, 6.79241, 0.00600484
200, 7.65069, 0.00687833
270, 8.09341, 0.00757298
400, 8.86258, 0.00845521
600, 9.97827, 0.0101825
1000, 12.0112, 0.012171
1400, 13.8549, 0.0133066
2000, 16.3408, 0.016457
3000, 20.0628, 0.0193634
4000, 23.3557, 0.0233282
6000, 29.2534, 0.0283932
