Event,Timestamp,Width,Intensity,Stage x Position,Material Thickness
0,0.078,22.3,17600.0,266.0,4.0
1,0.178,22.7,19600.0,266.0,4.0
2,0.278,23.3,18700.0,266.0,4.0
3,0.378,24.0,18300.0,266.0,4.0
4,0.478,21.0,19800.0,0.0,0.0
5,0.578,22.4,21400.0,0.0,0.0
6,0.678,23.3,18200.0,266.0,4.0
7,0.778,22.9,21100.0,266.0,4.0
8,0.878,23.5,19100.0,266.0,4.0
9,0.978,21.7,19300.0,266.0,4.0
10,1.078,23.1,18200.0,266.0,4.0
11,1.178,22.6,20400.0,266.0,4.0
12,1.278,22.3,19400.0,266.0,4.0
13,1.378,22.7,19700.0,266.0,4.0
14,1.478,21.8,16700.0,266.0,4.0
15,1.578,22.9,17900.0,266.0,4.0
16,1.678,21.9,20900.0,0.0,0.0
17,1.778,22.1,19800.0,0.0,0.0
18,1.878,22.8,18500.0,0.0,0.0
19,1.978,24.1,18400.0,0.0,0.0
20,2.078,23.1,20400.0,0.0,0.0
21,2.178,23.4,19300.0,0.0,0.0
22,2.278,23.8,18900.0,0.0,0.0
23,2.378,23.4,18500.0,0.0,0.0
24,2.478,24.1,19000.0,0.0,0.0
25,2.57,23.1,20300.0,0.0,0.0
26,2.678,22.2,19700.0,0.0,0.0
27,2.778,22.7,19700.0,0.0,0.0
28,2.878,22.4,20600.0,0.0,0.0
29,2.978,23.2,23200.0,0.0,0.0
30,3.078,22.8,19200.0,0.0,0.0
31,3.178,22.0,20100.0,0.0,0.0
32,3.278,21.7,19700.0,0.0,0.0
33,3.378,21.8,19600.0,0.0,0.0
34,3.478,22.6,18800.0,0.0,0.0
35,3.578,23.2,19000.0,0.0,0.0
36,3.678,24.1,19700.0,0.0,0.0
37,3.778,23.7,18000.0,0.0,0.0
38,3.878,21.4,20000.0,0.0,0.0
39,3.978,22.4,17200.0,0.0,0.0
40,4.078,24.0,19000.0,0.0,0.0
41,4.178,21.0,19000.0,0.0,0.0
42,4.278,23.5,19400.0,0.0,0.0
43,4.378,22.3,18700.0,0.0,0.0
44,4.478,21.3,18800.0,0.0,0.0
45,4.578,23.1,18400.0,0.0,0.0
46,4.678,22.4,19400.0,0.0,0.0
47,4.778,22.8,18400.0,0.0,0.0
48,4.878,23.2,18000.0,0.0,0.0
49,4.978,22.0,19200.0,0.0,0.0
50,5.078,21.8,19500.0,0.0,0.0
51,5.177,22.8,18800.0,0.0,0.0
52,5.277,22.4,20700.0,0.0,0.0
53,5.377,22.7,19100.0,0.0,0.0
54,5.477,23.9,19200.0,0.0,0.0
55,5.577,22.6,20600.0,0.0,0.0
56,5.677,23.4,18900.0,0.0,0.0
57,5.777,25.1,18100.0,0.0,0.0
58,5.877,25.9,14600.0,0.0,0.0
59,5.977,26.7,15100.0,0.0,0.0
60,6.077,29.3,16800.0,0.0,0.0
61,6.177,27.7,16300.0,0.0,0.0
62,6.277,26.2,16900.0,0.0,0.0
63,6.377,27.8,16700.0,0.0,0.0
64,6.477,29.0,15900.0,0.0,0.0
65,6.577,30.7,17300.0,0.0,0.0
66,6.677,28.6,15000.0,0.0,0.0
67,6.777,28.2,15600.0,0.0,0.0
68,6.877,26.2,17700.0,0.0,0.0
69,6.889,27.3,17900.0,0.0,0.0
70,7.077,30.2,16300.0,0.0,0.0
71,7.177,27.5,16600.0,0.0,0.0
72,7.277,28.0,18400.0,0.0,0.0
73,7.378,28.3,17900.0,0.0,0.0
74,7.478,28.3,14700.0,0.0,0.0
75,7.578,27.8,15400.0,0.0,0.0
76,7.678,27.1,17700.0,0.0,0.0
77,7.778,27.4,16700.0,0.0,0.0
78,7.878,28.2,16900.0,0.0,0.0
79,7.978,30.0,18200.0,0.0,0.0
80,8.078,28.1,18900.0,0.0,0.0
81,8.178,27.6,17800.0,0.0,0.0
82,8.278,27.4,17300.0,0.0,0.0
83,8.378,28.6,17900.0,0.0,0.0
84,8.478,26.7,17900.0,0.0,0.0
85,8.578,28.1,16800.0,0.0,0.0
86,8.678,29.3,17600.0,0.0,0.0
87,8.778,21.3,19800.0,0.0,0.0
88,8.878,15.9,28700.0,0.0,0.0
