Event,Timestamp,Width,Intensity,Stage x Position,Material Thickness
137,13.778,23.6,17200.0,0.0,0.0
138,13.878,22.0,17900.0,0.0,0.0
139,13.978,22.6,18200.0,0.0,0.0
140,14.078,24.8,17400.0,0.0,0.0
141,14.178,22.2,16400.0,0.0,0.0
142,14.278,23.7,16100.0,0.0,0.0
143,14.378,21.3,17600.0,0.0,0.0
144,14.478,25.0,18100.0,0.0,0.0
145,14.578,25.2,16900.0,0.0,0.0
146,14.63,29.2,14900.0,0.0,0.0
147,14.778,28.0,16000.0,0.0,0.0
148,14.878,27.8,14600.0,0.0,0.0
149,14.978,28.7,14200.0,0.0,0.0
150,15.078,28.7,13300.0,0.0,0.0
151,15.178,29.4,14100.0,0.0,0.0
152,15.278,26.9,15200.0,0.0,0.0
153,15.378,28.4,15500.0,0.0,0.0
154,15.478,27.6,13000.0,0.0,0.0
155,15.578,30.1,15700.0,0.0,0.0
156,15.678,28.8,14700.0,0.0,0.0
157,15.778,30.0,13500.0,0.0,0.0
158,15.878,30.3,14400.0,0.0,0.0
159,15.978,28.8,14200.0,0.0,0.0
160,16.078,29.0,13900.0,0.0,0.0
161,16.178,28.1,14600.0,0.0,0.0
162,16.278,29.3,13500.0,0.0,0.0
163,16.378,28.7,14000.0,0.0,0.0
164,16.478,27.9,14400.0,0.0,0.0
165,16.578,28.7,15000.0,0.0,0.0
166,16.678,30.0,13800.0,0.0,0.0
167,16.778,29.1,15000.0,0.0,0.0
168,16.878,28.2,15600.0,0.0,0.0
169,16.978,28.1,14000.0,0.0,0.0
170,17.078,29.9,14900.0,0.0,0.0
171,17.178,27.9,13800.0,0.0,0.0
172,17.278,27.1,15900.0,0.0,0.0
173,17.377,26.4,16400.0,0.0,0.0
174,17.477,29.2,13900.0,0.0,0.0
175,17.577,28.9,14300.0,0.0,0.0
176,17.677,29.5,14200.0,0.0,0.0
177,17.777,27.9,14400.0,0.0,0.0
178,17.877,27.4,14800.0,0.0,0.0
179,17.977,28.3,13800.0,0.0,0.0
180,18.077,29.7,13800.0,0.0,0.0
181,18.177,29.4,14100.0,0.0,0.0
182,18.277,28.1,15000.0,0.0,0.0
183,18.377,29.0,13300.0,0.0,0.0
184,18.477,29.5,14900.0,0.0,0.0
185,18.577,30.5,15300.0,0.0,0.0
186,18.677,28.5,14300.0,0.0,0.0
187,18.777,26.8,13900.0,0.0,0.0
188,18.877,30.2,14100.0,0.0,0.0
189,18.977,27.5,17300.0,0.0,0.0
190,19.077,25.6,17300.0,0.0,0.0
191,19.177,16.5,20600.0,0.0,0.0
192,19.277,14.6,22400.0,0.0,0.0
193,19.377,15.1,20600.0,0.0,0.0
194,19.477,16.1,23800.0,0.0,0.0
195,19.577,15.8,22000.0,0.0,0.0
196,19.677,14.3,22400.0,0.0,0.0
197,19.777,15.2,22700.0,0.0,0.0
198,19.877,16.2,19300.0,0.0,0.0
199,19.977,15.8,23600.0,0.0,0.0
200,20.077,15.3,24600.0,0.0,0.0
201,20.177,16.3,22400.0,0.0,0.0
202,20.277,14.9,20200.0,0.0,0.0
203,20.377,14.7,21000.0,0.0,0.0
204,20.477,15.2,24100.0,0.0,0.0
205,20.577,16.1,22900.0,0.0,0.0
206,20.677,15.8,23000.0,0.0,0.0
207,20.777,15.0,25900.0,0.0,0.0
208,20.877,16.3,19700.0,0.0,0.0
209,20.977,14.9,22500.0,0.0,0.0
210,21.077,15.1,20900.0,0.0,0.0
211,21.177,15.5,21300.0,0.0,0.0
212,21.277,16.0,22200.0,0.0,0.0
213,21.377,14.9,22500.0,0.0,0.0
214,21.477,15.1,26800.0,0.0,0.0
215,21.577,15.2,22400.0,0.0,0.0
216,21.677,15.0,23200.0,0.0,0.0
217,21.777,15.5,20800.0,0.0,0.0
218,21.877,16.4,20400.0,0.0,0.0
219,21.977,16.1,23700.0,0.0,0.0
220,22.032,15.7,23700.0,0.0,0.0
221,22.177,15.5,22000.0,0.0,0.0
222,22.277,15.0,21100.0,0.0,0.0
223,22.377,14.9,22400.0,0.0,0.0
224,22.477,14.7,20300.0,0.0,0.0
225,22.577,15.2,21300.0,0.0,0.0
226,22.677,15.6,19300.0,0.0,0.0
227,22.777,18.1,20000.0,0.0,0.0
228,22.877,19.4,21300.0,0.0,0.0
229,22.977,19.0,19400.0,0.0,0.0
230,23.077,21.3,18100.0,0.0,0.0
231,23.177,18.1,19800.0,0.0,0.0
232,23.277,19.3,18100.0,0.0,0.0
233,23.377,18.7,18900.0,0.0,0.0
234,23.477,18.0,19000.0,0.0,0.0
235,23.577,20.6,18100.0,0.0,0.0
236,23.677,20.1,19600.0,0.0,0.0
237,23.777,20.0,18000.0,0.0,0.0
238,23.877,19.1,18300.0,0.0,0.0
239,23.977,19.5,19500.0,0.0,0.0
240,24.077,18.8,19600.0,0.0,0.0
241,24.177,19.1,19000.0,0.0,0.0
242,24.277,18.1,21600.0,0.0,0.0
243,24.377,18.3,20100.0,0.0,0.0
244,24.477,19.2,18700.0,0.0,0.0
245,24.577,19.2,18700.0,0.0,0.0
246,24.677,18.8,18800.0,0.0,0.0
247,24.777,18.6,19600.0,0.0,0.0
248,24.877,19.3,19700.0,0.0,0.0
249,24.977,18.8,19200.0,0.0,0.0
250,25.077,18.9,19600.0,0.0,0.0
251,25.177,18.5,19300.0,0.0,0.0
252,25.277,18.6,20600.0,0.0,0.0
253,25.377,19.9,18600.0,0.0,0.0
254,25.477,20.2,18600.0,0.0,0.0
255,25.577,18.2,19400.0,0.0,0.0
256,25.677,17.8,18900.0,0.0,0.0
257,25.777,19.0,19800.0,0.0,0.0
258,25.877,18.2,20100.0,0.0,0.0
259,25.977,20.2,20800.0,0.0,0.0
260,26.077,18.5,19800.0,0.0,0.0
261,26.177,19.1,19600.0,0.0,0.0
262,26.277,18.5,18600.0,0.0,0.0
263,26.377,19.4,18600.0,0.0,0.0
264,26.477,18.7,20200.0,0.0,0.0
265,26.577,18.6,20000.0,0.0,0.0
266,26.677,18.2,18800.0,0.0,0.0
267,26.777,18.6,18800.0,0.0,0.0
268,26.877,19.1,20200.0,0.0,0.0
269,26.977,15.1,20900.0,0.0,0.0
270,27.078,12.3,24100.0,0.0,0.0
271,27.178,11.5,25000.0,0.0,0.0
272,27.278,11.7,31200.0,0.0,0.0
273,27.378,12.2,27500.0,0.0,0.0
274,27.478,11.3,28200.0,0.0,0.0
275,27.578,12.1,28200.0,0.0,0.0
276,27.678,11.8,31700.0,0.0,0.0
277,27.778,11.8,29100.0,0.0,0.0
278,27.878,11.4,26800.0,0.0,0.0
279,27.978,12.0,29100.0,0.0,0.0
280,28.078,11.9,29400.0,0.0,0.0
281,28.178,11.5,29900.0,0.0,0.0
282,28.278,11.7,28300.0,0.0,0.0
283,28.378,11.3,30400.0,0.0,0.0
284,28.478,11.8,29900.0,0.0,0.0
285,28.578,11.4,29000.0,0.0,0.0
286,28.678,11.4,28200.0,0.0,0.0
287,28.778,11.4,31700.0,0.0,0.0
288,28.878,11.6,26200.0,0.0,0.0
289,28.978,11.6,26100.0,0.0,0.0
290,29.078,12.1,32300.0,0.0,0.0
291,29.178,11.8,27500.0,0.0,0.0
292,29.278,13.2,30800.0,0.0,0.0
293,29.378,13.5,29500.0,0.0,0.0
294,29.478,13.9,25000.0,0.0,0.0
295,29.578,13.6,25200.0,0.0,0.0
296,29.677,13.1,24800.0,0.0,0.0
297,29.777,13.5,26100.0,0.0,0.0
298,29.877,13.2,24000.0,0.0,0.0
299,29.977,13.6,26900.0,0.0,0.0
300,30.077,13.7,28700.0,0.0,0.0
301,30.177,13.0,26200.0,0.0,0.0
302,30.277,13.9,25300.0,0.0,0.0
303,30.377,13.0,23800.0,0.0,0.0
304,30.477,13.4,29300.0,0.0,0.0
305,30.577,12.7,25000.0,0.0,0.0
306,30.677,13.3,26300.0,0.0,0.0
307,30.777,13.5,27300.0,0.0,0.0
308,30.877,13.0,26900.0,0.0,0.0
309,30.977,13.5,23600.0,0.0,0.0
310,31.077,13.1,24700.0,0.0,0.0
311,31.177,14.0,28400.0,0.0,0.0
312,31.277,13.3,24600.0,0.0,0.0
313,31.377,12.4,26900.0,0.0,0.0
314,31.477,13.3,25000.0,0.0,0.0
315,31.577,13.0,25500.0,0.0,0.0
316,31.677,13.1,25100.0,0.0,0.0
317,31.777,13.9,24200.0,0.0,0.0
318,31.877,12.9,26200.0,0.0,0.0
319,31.977,13.0,26500.0,0.0,0.0
320,32.077,13.4,26000.0,0.0,0.0
321,32.177,13.5,24800.0,0.0,0.0
322,32.277,13.3,25300.0,0.0,0.0
323,32.377,13.2,24300.0,0.0,0.0
324,32.477,13.5,25000.0,0.0,0.0
325,32.577,13.4,27500.0,0.0,0.0
326,32.677,12.7,25700.0,0.0,0.0
327,32.777,13.6,24700.0,0.0,0.0
328,32.877,13.5,29100.0,0.0,0.0
329,32.977,13.1,24600.0,0.0,0.0
330,33.077,13.4,27900.0,0.0,0.0
331,33.177,12.9,25900.0,0.0,0.0
332,33.277,13.9,25100.0,0.0,0.0
333,33.377,12.6,26400.0,0.0,0.0
334,33.477,13.1,24400.0,0.0,0.0
335,33.577,13.4,24600.0,0.0,0.0
336,33.677,13.7,27400.0,0.0,0.0
337,33.777,12.9,25000.0,0.0,0.0
338,33.877,12.9,26000.0,0.0,0.0
339,33.977,13.5,24600.0,0.0,0.0
340,34.077,12.7,24700.0,0.0,0.0
341,34.177,13.5,26900.0,0.0,0.0
342,34.277,13.4,23400.0,0.0,0.0
343,34.377,13.3,27900.0,0.0,0.0
344,34.477,12.8,22600.0,0.0,0.0
345,34.577,13.6,26400.0,0.0,0.0
346,34.677,13.7,26000.0,0.0,0.0
347,34.777,14.0,22100.0,0.0,0.0
348,34.877,13.7,26300.0,0.0,0.0
349,34.977,13.8,27600.0,0.0,0.0
350,35.077,13.3,22100.0,0.0,0.0
351,35.177,10.4,28200.0,0.0,0.0
352,35.277,8.85,36700.0,0.0,0.0
353,35.377,8.88,33100.0,0.0,0.0
354,35.477,9.16,33200.0,0.0,0.0
355,35.577,8.9,37100.0,0.0,0.0
356,35.677,9.14,36200.0,0.0,0.0
357,35.777,8.97,33400.0,0.0,0.0
358,35.877,8.75,33900.0,0.0,0.0
359,35.977,9.26,33000.0,0.0,0.0
360,36.077,8.55,36700.0,0.0,0.0
361,36.177,9.09,35800.0,0.0,0.0
362,36.277,8.88,36000.0,0.0,0.0
363,36.377,9.24,38800.0,0.0,0.0
364,36.477,9.0,37700.0,0.0,0.0
365,36.577,8.72,36700.0,0.0,0.0
366,36.677,8.88,34100.0,0.0,0.0
367,36.777,8.72,35000.0,0.0,0.0
368,36.877,9.52,38400.0,0.0,0.0
369,36.977,8.92,33400.0,0.0,0.0
370,37.077,8.98,34400.0,0.0,0.0
371,37.177,8.54,36000.0,0.0,0.0
372,37.277,8.72,36600.0,0.0,0.0
373,37.377,9.4,39300.0,0.0,0.0
374,37.477,8.82,32600.0,0.0,0.0
375,37.577,9.17,37300.0,0.0,0.0
376,37.677,9.12,36700.0,0.0,0.0
377,37.777,8.83,33300.0,0.0,0.0
378,37.877,9.17,38900.0,0.0,0.0
379,37.921,8.77,35100.0,0.0,0.0
380,38.077,8.71,37400.0,0.0,0.0
381,38.177,8.94,38800.0,0.0,0.0
382,38.277,8.89,34600.0,0.0,0.0
383,38.377,8.97,36100.0,0.0,0.0
384,38.477,8.97,38200.0,0.0,0.0
385,38.577,8.84,34300.0,0.0,0.0
386,38.677,8.88,35200.0,0.0,0.0
387,38.777,9.51,36300.0,0.0,0.0
388,38.877,8.84,37500.0,0.0,0.0
389,38.977,9.04,39300.0,0.0,0.0
390,39.077,8.93,37200.0,0.0,0.0
391,39.177,9.13,38800.0,0.0,0.0
392,39.277,8.8,38100.0,0.0,0.0
393,39.377,9.05,36400.0,0.0,0.0
394,39.477,9.03,36200.0,0.0,0.0
395,39.577,9.7,35400.0,0.0,0.0
