# Parameter scan performed using fm_doocs_generic_scantool.py on 20240404T150434
# Original save path: ./eCTLogger_20240404T150434.txt
# DOOCS addresses used:
# Write [SP]: None [Stability Measurement] --> "[Stability Measurement]"
# Read [X]: SINBAD.FL/THORLABS.STAGE/FLLINEARSTAGE.X/POSITION.RBV --> "FL Stage X RBV"
# Read [Y]: SINBAD.DIAG/TIMER.CENTRAL/MASTER/MACRO_PULSE_NUMBER --> "Macropulse Number"
# Additional recorded addresses:
#  [ADD 1]: SINBAD.FL/THORLABS.STAGE/ROTATIONMOUNT.1/POSITION.RBV --> "FL Rotation Mount RBV"
#  [ADD 2]: SINBAD.FL/THORLABS.STAGE/FLLINEARSTAGE.Y/POSITION.RBV --> "FL Stage Y RBV"
#  [ADD 3]: SINBAD.UTIL/MACHINE.STATE/ACCLXSISRV04._SVR/SVR.ERROR_COUNT --> "Machine Alarm Deviating"
#  [ADD 4]: SINBAD.DIAG/TICT/K7510/CHARGE.LUT --> "Turbo-ICT (Look-up table)"
# Number of measurements per step: 1
# Data from the individual DOOCS addresses was NOT SYNCED
# ---------------------------
# [SP] Data Point (No.)	[X] Position (mm)	[Y] Index ()	[ADD 1] Position (deg)	[ADD 2] Position (mm)	[ADD 3] Count ()	[ADD 4] Charge (pC)	UNIX Time Stamp (seconds)
# ---------------------------
1.0	266.0	1975752160.0	0.026046525686979294	92.0	0.0	0.0	1712235874.2531526
2.0	266.0	1975752161.0	0.026046525686979294	92.0	0.0	0.0	1712235874.3553913
3.0	266.0	1975752162.0	0.026046525686979294	92.0	0.0	0.0	1712235874.4577794
4.0	266.0	1975752163.0	0.026046525686979294	92.0	0.0	0.012744355015456676	1712235874.5602455
5.0	266.0	1975752164.0	0.026046525686979294	92.0	0.0	0.0	1712235874.6625578
6.0	266.0	1975752165.0	0.026046525686979294	92.0	0.0	0.0	1712235874.7647274
7.0	266.0	1975752166.0	0.026046525686979294	92.0	0.0	0.0	1712235874.8670835
8.0	266.0	1975752167.0	0.026046525686979294	92.0	0.0	0.0	1712235874.9692328
9.0	266.0	1975752168.0	0.026046525686979294	92.0	0.0	0.018447263166308403	1712235875.0714142
10.0	266.0	1975752169.0	0.026046525686979294	92.0	0.0	0.0	1712235875.1737866
11.0	266.0	1975752170.0	0.026046525686979294	92.0	0.0	0.0	1712235875.2761788
13.0	266.0	1975752172.0	0.026046525686979294	92.0	0.0	0.0	1712235875.481049
13.0	266.0	1975752172.0	0.026046525686979294	92.0	0.0	0.0	1712235875.481049
14.0	266.0	1975752173.0	0.026046525686979294	92.0	0.0	0.0	1712235875.6222644
15.0	266.0	1975752175.0	0.026046525686979294	92.0	0.0	0.0	1712235875.7278666
16.0	266.0	1975752176.0	0.026046525686979294	92.0	0.0	0.0	1712235875.8300464
17.0	266.0	1975752177.0	0.026046525686979294	92.0	0.0	0.0	1712235875.9322548
18.0	266.0	1975752178.0	0.026046525686979294	92.0	0.0	0.01188330166041851	1712235876.0346637
19.0	266.0	1975752179.0	0.026046525686979294	92.0	0.0	0.017681458964943886	1712235876.1369507
20.0	266.0	1975752180.0	0.026046525686979294	92.0	0.0	0.0	1712235876.239638
21.0	266.0	1975752181.0	0.026046525686979294	92.0	0.0	0.0	1712235876.3420386
22.0	266.0	1975752182.0	0.026046525686979294	92.0	0.0	0.008132734335958958	1712235876.4442086
23.0	266.0	1975752183.0	0.026046525686979294	92.0	0.0	0.0	1712235876.5463033
24.0	266.0	1975752184.0	0.026046525686979294	92.0	0.0	0.0	1712235876.6700583
25.0	266.0	1975752185.0	0.026046525686979294	92.0	0.0	0.0	1712235876.7722864
27.0	266.0	1975752187.0	0.026046525686979294	92.0	0.0	0.0	1712235876.9765923
27.0	266.0	1975752187.0	0.026046525686979294	92.0	0.0	0.0	1712235876.9765923
28.0	266.0	1975752188.0	0.026046525686979294	92.0	0.0	0.0	1712235877.0804691
29.0	266.0	1975752189.0	0.026046525686979294	92.0	0.0	0.0	1712235877.1831038
30.0	266.0	1975752190.0	0.026046525686979294	92.0	0.0	0.0042888205498456955	1712235877.2854629
31.0	266.0	1975752191.0	0.026046525686979294	92.0	0.0	0.007026169914752245	1712235877.38808
32.0	266.0	1975752192.0	0.026046525686979294	92.0	0.0	0.0	1712235877.4902005
33.0	266.0	1975752193.0	0.026046525686979294	92.0	0.0	0.01334289088845253	1712235877.5925684
34.0	266.0	1975752194.0	0.026046525686979294	92.0	0.0	0.0	1712235877.6948116
35.0	266.0	1975752195.0	0.026046525686979294	92.0	0.0	0.0	1712235877.8765554
36.0	266.0	1975752197.0	0.026046525686979294	92.0	0.0	0.0	1712235877.978747
37.0	266.0	1975752198.0	0.026046525686979294	92.0	0.0	0.01977241225540638	1712235878.0812652
38.0	266.0	1975752199.0	0.026046525686979294	92.0	0.0	0.0	1712235878.18428
39.0	266.0	1975752200.0	0.026046525686979294	92.0	0.0	0.02062389813363552	1712235878.2870448
40.0	266.0	1975752201.0	0.026046525686979294	92.0	0.0	0.0	1712235878.389504
41.0	266.0	1975752202.0	0.026046525686979294	92.0	0.0	0.0	1712235878.4921846
42.0	266.0	1975752203.0	0.026046525686979294	92.0	0.0	0.0	1712235878.5946717
43.0	266.0	1975752204.0	0.026046525686979294	92.0	0.0	0.0	1712235878.6970105
44.0	266.0	1975752205.0	0.026046525686979294	92.0	0.0	0.0	1712235878.7995212
45.0	266.0	1975752206.0	0.026046525686979294	92.0	0.0	0.0	1712235878.901911
46.0	266.0	1975752207.0	0.026046525686979294	92.0	0.0	0.00436090724542737	1712235879.0442882
47.0	266.0	1975752209.0	0.026046525686979294	92.0	0.0	0.0	1712235879.1466408
48.0	266.0	1975752210.0	0.026046525686979294	92.0	0.0	0.014785836450755596	1712235879.2488286
49.0	266.0	1975752211.0	0.026046525686979294	92.0	0.0	0.0	1712235879.351253
50.0	266.0	1975752212.0	0.026046525686979294	92.0	0.0	0.0	1712235879.453645
51.0	266.0	1975752213.0	0.026046525686979294	92.0	0.0	0.0	1712235879.5560946
52.0	266.0	1975752214.0	0.026046525686979294	92.0	0.0	0.0	1712235879.6584103
53.0	266.0	1975752215.0	0.026046525686979294	92.0	0.0	0.0	1712235879.7607324
54.0	266.0	1975752216.0	0.026046525686979294	92.0	0.0	0.021284069865942	1712235879.8631094
55.0	266.0	1975752217.0	0.026046525686979294	92.0	0.0	0.0	1712235879.9653285
56.0	266.0	1975752218.0	0.026046525686979294	92.0	0.0	0.0	1712235880.0925715
57.0	266.0	1975752219.0	0.026046525686979294	92.0	0.0	0.026281137019395828	1712235880.1952782
58.0	266.0	1975752220.0	0.026046525686979294	92.0	0.0	0.0280301533639431	1712235880.2979963
59.0	266.0	1975752221.0	0.026046525686979294	92.0	0.0	0.0	1712235880.4008358
60.0	266.0	1975752222.0	0.026046525686979294	92.0	0.0	0.0	1712235880.5033948
62.0	266.0	1975752224.0	0.026046525686979294	92.0	0.0	0.00724552059546113	1712235880.709099
62.0	266.0	1975752224.0	0.026046525686979294	92.0	0.0	0.00724552059546113	1712235880.709099
63.0	266.0	1975752225.0	0.026046525686979294	92.0	0.0	0.007977284491062164	1712235880.812179
64.0	266.0	1975752227.0	0.026046525686979294	92.0	0.0	0.0	1712235880.9148908
65.0	266.0	1975752228.0	0.026046525686979294	92.0	0.0	0.012298637069761753	1712235881.0168252
66.0	266.0	1975752229.0	0.026046525686979294	92.0	0.0	0.016154512763023376	1712235881.1190195
67.0	266.0	1975752230.0	0.026046525686979294	92.0	0.0	0.006816949229687452	1712235881.2608342
68.0	266.0	1975752231.0	0.026046525686979294	92.0	0.0	0.019323164597153664	1712235881.3631089
69.0	266.0	1975752232.0	0.026046525686979294	92.0	0.0	0.0	1712235881.4655478
70.0	266.0	1975752233.0	0.026046525686979294	92.0	0.0	0.01248090248554945	1712235881.5677962
71.0	266.0	1975752234.0	0.026046525686979294	92.0	0.0	0.01630539260804653	1712235881.6702542
72.0	266.0	1975752235.0	0.026046525686979294	92.0	0.0	0.007268779911100864	1712235881.772584
73.0	266.0	1975752236.0	0.026046525686979294	92.0	0.0	0.0	1712235881.874944
74.0	266.0	1975752237.0	0.026046525686979294	92.0	0.0	0.015735575929284096	1712235881.9773905
75.0	266.0	1975752238.0	0.026046525686979294	92.0	0.0	0.013241186738014221	1712235882.0796213
76.0	266.0	1975752239.0	0.026046525686979294	92.0	0.0	0.0	1712235882.1821177
77.0	266.0	1975752240.0	0.026046525686979294	92.0	0.0	0.0	1712235882.2844682
78.0	266.0	1975752241.0	0.026046525686979294	92.0	0.0	0.021063845604658127	1712235882.3868484
79.0	266.0	1975752242.0	0.026046525686979294	92.0	0.0	0.0203004851937294	1712235882.5099516
80.0	266.0	1975752243.0	0.026046525686979294	92.0	0.0	0.0	1712235882.612252
81.0	266.0	1975752245.0	0.026046525686979294	92.0	0.0	0.0	1712235882.71455
82.0	266.0	1975752246.0	0.026046525686979294	92.0	0.0	0.004711617715656757	1712235882.8166604
83.0	266.0	1975752247.0	0.026046525686979294	92.0	0.0	0.0	1712235882.918748
84.0	266.0	1975752248.0	0.026046525686979294	92.0	0.0	0.007451134733855724	1712235883.0209377
85.0	266.0	1975752249.0	0.026046525686979294	92.0	0.0	0.0	1712235883.1234531
86.0	266.0	1975752250.0	0.026046525686979294	92.0	0.0	0.008326276205480099	1712235883.2285323
87.0	266.0	1975752251.0	0.026046525686979294	92.0	0.0	0.0	1712235883.330724
88.0	266.0	1975752252.0	0.026046525686979294	92.0	0.0	0.013928708620369434	1712235883.4331334
89.0	266.0	1975752253.0	0.026046525686979294	92.0	0.0	0.016594436019659042	1712235883.5736294
90.0	266.0	1975752254.0	0.026046525686979294	92.0	0.0	0.0	1712235883.676204
91.0	266.0	1975752255.0	0.026046525686979294	92.0	0.0	0.0	1712235883.8147395
92.0	266.0	1975752257.0	0.026046525686979294	92.0	0.0	0.0	1712235883.9171448
93.0	266.0	1975752258.0	0.026046525686979294	92.0	0.0	0.0	1712235884.0193465
94.0	266.0	1975752259.0	0.026046525686979294	92.0	0.0	0.0	1712235884.121483
95.0	266.0	1975752260.0	0.026046525686979294	92.0	0.0	0.0	1712235884.223648
96.0	266.0	1975752261.0	0.026046525686979294	92.0	0.0	0.0	1712235884.3287117
97.0	266.0	1975752262.0	0.026046525686979294	92.0	0.0	0.018962377682328224	1712235884.4310963
98.0	266.0	1975752263.0	0.026046525686979294	92.0	0.0	0.0	1712235884.5335011
99.0	266.0	1975752264.0	0.026046525686979294	92.0	0.0	0.0	1712235884.635672
100.0	266.0	1975752265.0	0.026046525686979294	92.0	0.0	0.0	1712235884.738113
101.0	266.0	1975752266.0	0.026046525686979294	92.0	0.0	0.013875456526875496	1712235884.879552
102.0	266.0	1975752267.0	0.026046525686979294	92.0	0.0	0.009984176605939865	1712235884.9822798
103.0	266.0	1975752268.0	0.026046525686979294	92.0	0.0	0.0	1712235885.0848062
104.0	266.0	1975752269.0	0.026046525686979294	92.0	0.0	0.00835669320076704	1712235885.1871517
105.0	266.0	1975752270.0	0.026046525686979294	92.0	0.0	0.0	1712235885.2893827
106.0	266.0	1975752271.0	0.026046525686979294	92.0	0.0	0.0	1712235885.422131
107.0	266.0	1975752273.0	0.026046525686979294	92.0	0.0	0.0	1712235885.5281594
108.0	266.0	1975752274.0	0.026046525686979294	92.0	0.0	0.026465754956007004	1712235885.6304884
109.0	266.0	1975752275.0	0.026046525686979294	92.0	0.0	0.0129356998950243	1712235885.732689
110.0	266.0	1975752276.0	0.026046525686979294	92.0	0.0	0.0	1712235885.8349118
111.0	266.0	1975752277.0	0.026046525686979294	92.0	0.0	0.0	1712235885.9370143
113.0	266.0	1975752279.0	0.026046525686979294	92.0	0.0	0.0	1712235886.1427495
113.0	266.0	1975752279.0	0.026046525686979294	92.0	0.0	0.0	1712235886.1427495
114.0	266.0	1975752280.0	0.026046525686979294	92.0	0.0	0.0	1712235886.2466738
115.0	266.0	1975752281.0	0.026046525686979294	92.0	0.0	0.0	1712235886.3488934
116.0	266.0	1975752282.0	0.026046525686979294	92.0	0.0	0.0	1712235886.4906986
117.0	266.0	1975752283.0	0.026046525686979294	92.0	0.0	0.0	1712235886.5931377
118.0	266.0	1975752284.0	0.026046525686979294	92.0	0.0	0.021574461832642555	1712235886.695627
119.0	266.0	1975752285.0	0.026046525686979294	92.0	0.0	0.010476593859493732	1712235886.7978787
120.0	266.0	1975752286.0	0.026046525686979294	92.0	0.0	0.0	1712235886.9002035
121.0	266.0	1975752287.0	0.026046525686979294	92.0	0.0	0.02340118959546089	1712235887.0024343
122.0	266.0	1975752288.0	0.026046525686979294	92.0	0.0	0.0	1712235887.135597
124.0	265.87091064453125	1975752294.0	0.026046525686979294	92.0	0.0	0.0	1712235887.7068996
125.0	265.7146911621094	1975752295.0	0.026046525686979294	92.0	0.0	0.0	1712235887.8099983
125.0	265.7146911621094	1975752295.0	0.026046525686979294	92.0	0.0	0.0	1712235887.8099983
126.0	265.4974670410156	1975752296.0	0.026046525686979294	92.0	0.0	0.0	1712235887.9462655
127.0	265.2196960449219	1975752298.0	0.026046525686979294	92.0	0.0	0.0	1712235888.048367
128.0	264.8804931640625	1975752299.0	0.026046525686979294	92.0	0.0	0.0	1712235888.1506038
129.0	264.48175048828125	1975752300.0	0.026046525686979294	92.0	0.0	0.0	1712235888.2529485
130.0	264.0228576660156	1975752301.0	0.026046525686979294	92.0	0.0	0.0	1712235888.3555408
131.0	263.5031433105469	1975752302.0	0.026046525686979294	92.0	0.0	0.0	1712235888.4580264
132.0	262.9226379394531	1975752303.0	0.026046525686979294	92.0	0.0	0.0	1712235888.560298
133.0	262.31829833984375	1975752304.0	0.026046525686979294	92.0	0.0	0.0	1712235888.6624947
